,kappa,ev1,ev2,ev_diff,ev_diff_squared,model_diff_squared_real,model_diff_squared_imag,model_var_diff_real,model_var_diff_imag,ev_sum,model_sum_real,model_sum_imag,model_var_sum_real,model_var_sum_imag
33,(1.1810558240429954+1.024885164737646j),(-1.2274724245071411-0.29489248991012573j),(-1.2608866691589355+0.014267563819885254j),(0.033414244651794434-0.309160053730011j),(-0.09446342707669331-0.020660699343793j),-0.07226714493757017,-0.015430764824145704,0.00023634667741134763,0.00023634667741134763,(-1.2441795468330383-0.14031246304512024j),-1.235388106372103,-0.13799979989521682,3.076688761216584e-05,3.076688761216584e-05
34,(1.1812422538811347+1.0241798502701205j),(-1.2279689311981201-0.2914067506790161j),(-1.260495662689209+0.010961356572806835j),(0.03252673149108887-0.30236810725182295j),(-0.09036848402155652-0.01967009247209761j),-0.06795033060349998,-0.014416002426284649,0.00023646516478947888,0.00023646516478947888,(-1.2442322969436646-0.14022269705310464j),-1.2354272270586057,-0.13792703495158237,3.075356633064352e-05,3.075356633064352e-05
35,(1.1814134411882493+1.0235311517238888j),(-1.2284340858459473-0.2881343960762024j),(-1.2601275444030762+0.007854151539504528j),(0.031693458557128906-0.2959885476157069j),(-0.08660474500434316-0.018761801534486366j),-0.06398245372847047,-0.013485716526305341,0.00023667182176723145,0.00023667182176723145,(-1.2442808151245117-0.14014012226834893j),-1.2354631741311557,-0.1378600997885013,3.074167530403571e-05,3.074167530403571e-05
36,(1.1815711075368944+1.0229325189093654j),(-1.2288707494735718-0.28505444526672363j),(-1.2597802877426147+0.004926635883748531j),(0.03090953826904297-0.28998108115047216j),(-0.08313362786919129-0.017926362650237948j),-0.060322877112708166,-0.01263020502791028,0.00023694564038123644,0.00023694564038123644,(-1.2443255186080933-0.14006390469148755j),-1.235496311115107,-0.13779831889798577,3.073100577344334e-05,3.073100577344334e-05
37,(1.1817167399129849+1.022378405760479j),(-1.2292814254760742-0.2821488678455353j),(-1.259452223777771+0.0021621687337756157j),(0.030170798301696777-0.2843110365793109j),(-0.0799224884506406-0.017155781879161447j),-0.05693722790692482,-0.011841109274284799,0.00023727025063635665,0.00023727025063635665,(-1.2443668246269226-0.13999334955587983j),-1.2355269486954246,-0.1377411212025869,3.072138762194587e-05,3.072138762194587e-05
38,(1.1818515975750612+1.021864072038835j),(-1.2296684980392456-0.279401957988739j),(-1.2591416835784912-0.0004537077620625496j),(0.029473185539245605-0.27894825022667646j),(-0.07694345763869372-0.01644298706955749j),-0.05379615661493323,-0.011111368617039279,0.0002376328366153757,0.0002376328366153757,(-1.2444050908088684-0.13992783287540078j),-1.2355553511717592,-0.13768801820731372,3.071267950671697e-05,3.071267950671697e-05
39,(1.18197680297531+1.0213853905508021j),(-1.2300339937210083-0.2767997682094574j),(-1.2588474750518799-0.0029339136090129614j),(0.028813481330871582-0.27386585460044444j),(-0.07417228960962728-0.015782057377386194j),-0.050874136126373315,-0.010434705629132889,0.00023802334158062877,0.00023802334158062877,(-1.244440734386444-0.13986684090923518j),-1.2355817512353782,-0.13763858537635912,3.070476366817676e-05,3.070476366817676e-05
40,(1.182093313385839+1.0209388045440184j),(-1.2303797006607056-0.27433010935783386j),(-1.2585680484771729-0.005289738532155752j),(0.028188347816467285-0.2690403708256781j),(-0.07158813818139625-0.015167607099011104j),-0.048149185937142555,-0.009805778265472204,0.0002384338333740743,0.0002384338333740743,(-1.2444738745689392-0.1398099239449948j),-1.2356063483611002,-0.1375924565198659,3.069754103957045e-05,3.069754103957045e-05
41,(1.182201971089827+1.0205212283499614j),(-1.2307071685791016-0.27198225259780884j),(-1.2583025693893433-0.00753112742677331j),(0.0275954008102417-0.26445112517103553j),(-0.06917289145834882-0.014595269587628246j),-0.04560225106300947,-0.009219894733539302,0.0002388580180650024,0.0002388580180650024,(-1.2445048689842224-0.13975669001229107j),-1.2356293167641483,-0.13754931430125827,3.069092844765198e-05,3.069092844765198e-05
42,(1.182303511632145+1.0201299359688514j),(-1.231017827987671-0.2697465121746063j),(-1.2580498456954956-0.00966706220060587j),(0.027032017707824707-0.26007944997400045j),(-0.06691059031742246-0.01406094459427698j),-0.04321651277003942,-0.008672967518956826,0.0002392909441368829,0.0002392909441368829,(-1.2445338368415833-0.1397067871876061j),-1.2356508094548393,-0.13750887809113005,3.06848543908389e-05,3.06848543908389e-05
43,(1.1823985870404197+1.0197625380390547j),(-1.2313129901885986-0.26761430501937866j),(-1.2578089237213135-0.011705538257956505j),(0.026495933532714844-0.25590876676142216j),(-0.06478726241158192-0.013561083349099334j),-0.04097723930900515,-0.00816137907909702,0.00023972868143573578,0.00023972868143573578,(-1.244560956954956-0.13965992163866758j),-1.235670961264742,-0.137470902132647,3.067925808697414e-05,3.067925808697414e-05
