,kappa_with_noise,kappa_no_noise,ev_with_noise,ev_no_noise,training_steps_color
58,(1.1830546841926202+1.017089561205107j),(0.5504564232805547+0.5017969835094029j),"[(-1.2334041595458984-0.25098881125450134j), (-1.2561030387878418-0.02764631062746048j)]","[(-0.2411673665046692-0.2974112033843994j), (0.017089203000068665+0.0005934759392403066j)]",40
59,(1.1831083694524716+1.0168757852501897j),(0.4466595973331163+0.18484844266549233j),"[(-1.2335923910140991-0.2495565116405487j), (-1.2559459209442139-0.02902393974363804j)]","[(-0.13190357387065887-0.11223113536834717j), (0.017155557870864868+0.0001351812679786235j)]",41
60,(1.1831594017204397+1.0166720697036264j),(0.5193487267477839+0.17584108096395207j),"[(-1.2337732315063477-0.24817512929439545j), (-1.255794644355774-0.030353199690580368j)]","[(-0.1749432384967804-0.10165464878082275j), (0.017242493107914925+0.00016882938507478684j)]",42
61,(1.1832079661336774+1.0164777303083996j),(0.5368592662069279+0.6363421183221424j),"[(-1.2339471578598022-0.24684178829193115j), (-1.2556489706039429-0.03163681924343109j)]","[(-0.26325324177742004-0.39338424801826477j), (0.016980404034256935+0.0007424260838888586j)]",43
62,(1.1832542328556155+1.0162921418146427j),(0.4975669622543456+0.37608344581134595j),"[(-1.234114646911621-0.24555379152297974j), (-1.2555084228515625-0.032877322286367416j)]","[(-0.18426816165447235-0.22587305307388306j), (0.01710115186870098+0.0004036081372760236j)]",44
63,(1.1832983547788407+1.0161147331071119j),(0.48405335956848444+0.21049676380151733j),"[(-1.2342759370803833-0.24430865049362183j), (-1.2553728818893433-0.03407704085111618j)]","[(-0.1566554307937622-0.1250627636909485j), (0.017182238399982452+0.00018887162150349468j)]",45
64,(1.1833404729621764+1.0159449823379134j),(0.5210434861894468+0.30871617910137156j),"[(-1.234431505203247-0.24310410022735596j), (-1.255241870880127-0.03523813188076019j)]","[(-0.18946751952171326-0.1807049661874771j), (0.017170488834381104+0.0003317877708468586j)]",46
65,(1.1833807176452744+1.0157824082094777j),(0.5340868663160887+0.4043842526373922j),"[(-1.234581470489502-0.24193798005580902j), (-1.2551153898239136-0.03636261820793152j)]","[(-0.2118893414735794-0.23792719841003418j), (0.017130443826317787+0.00046133072464726865j)]",47
66,(1.1834192063511533+1.0156265719271187j),(0.7391243708972396+0.13417523668277107j),"[(-1.2347263097763062-0.24080833792686462j), (-1.2549930810928345-0.037452343851327896j)]","[(-0.28841960430145264-0.06249877065420151j), (0.017540274187922478+0.00019709432672243565j)]",48
67,(1.1834560482104375+1.015477067811002j),(0.6325046364551533+0.18292204217064598j),"[(-1.2348662614822388-0.23971334099769592j), (-1.2548747062683105-0.03850904852151871j)]","[(-0.23900526762008667-0.09622075408697128j), (0.017376432195305824+0.0002282142813783139j)]",49
68,(1.1834913433660845+1.0153335219771087j),(0.6363729845371617+0.5564573819786431j),"[(-1.235001564025879-0.23865126073360443j), (-1.2547600269317627-0.03953435271978378j)]","[(-0.31057772040367126-0.3122232258319855j), (0.017156701534986496+0.0007214468205347657j)]",50
69,(1.1835251843850902+1.0151955890075328j),(0.3647545885023686+0.22446948891280427j),"[(-1.2351324558258057-0.2376205027103424j), (-1.254649043083191-0.0405297577381134j)]","[(-0.08285164088010788-0.14296233654022217j), (0.017022933810949326+0.00012304374831728637j)]",51
70,(1.1835576585899492+1.0150629426436986j),(0.202260348927826-0.011044397720806239j),"[(-1.2352591753005981-0.23661953210830688j), (-1.2545413970947266-0.04149673506617546j)]","[(0.03313996642827988+0.006837355904281139j), (0.015286918729543686+0.0006121236365288496j)]",52
71,(1.1835888399141852+1.014935299929348j),(0.5310763827785071+0.3449084998631475j),"[(-1.235381841659546-0.2356470376253128j), (-1.2544370889663696-0.04243650287389755j)]","[(-0.20058324933052063-0.20144598186016083j), (0.017162172123789787+0.0003837495169136673j)]",53
72,(1.1836188026466619+1.014812395925431j),(0.425946057413925+0.2582363023518608j),"[(-1.235500693321228-0.23470179736614227j), (-1.2543357610702515-0.043350234627723694j)]","[(-0.12481483072042465-0.1597169041633606j), (0.017080629244446754+0.00021057238336652517j)]",54
73,(1.1836476183648563+1.014693950660089j),(0.8201493899444563+0.4966025888946083j),"[(-1.2356159687042236-0.23378238081932068j), (-1.254237413406372-0.04423927143216133j)]","[(-0.39995065331459045-0.22094449400901794j), (0.0174506064504385+0.0007884174701757729j)]",55
